代码,11.代码（处理方法）,13.代码（处理的主要污染物）,14.处理效率（%）（处理的主要污染物）,11.代码（处理方法）,16.代码（处理的主要污染物）,17.处理效率（%）（处理的主要污染物）,11.代码（处理方法）,19.代码（处理的主要污染物）,20.处理效率（%）（处理的主要污染物）
520122000000G177055793x00,E,2100,99,E,,,E,,
520122100212G1520122G0000,J3,2006,,J3,2100,,J3,,
520122100219G175017634700,J3,2100,99,J3,,,J3,,
520122100219G175017634700,J3,2100,99,J3,,,J3,,
520122100224G177055293x00,E,2100,99,E,,,E,,
520122100224G177055293x00,E,2100,99,E,,,E,,
520122101211G171437603400,J2,2100,63.5,J2,,,J2,,
520122101211G171437603400,J2,2100,63.5,J2,,,J2,,
520122101211G171437603400,J2,2100,63.5,J2,,,J2,,
520122101211G171437603400,J2,2100,63.5,J2,,,J2,,
520122101211G171437603400,J2,2100,63.5,J2,,,J2,,
520122101211G171437603400,J2,2100,63.5,J2,,,J2,,
520122101211G171437603400,J2,2006,95.1,J2,2100,,J2,,
520122101211G171437603400,J2,2002,99.9,J2,,,J2,,
520122101211G171437603400,D,2100,,D,,,D,,
520122101211G171437603400,A,2100,,A,,,A,,
520122101211G171437622900,J3,2006,,J3,2100,,J3,,
520122103201G121574251100,C,2100,90,C,2002,90,C,,
520122103201G121574251100,C,2100,90,C,2002,90,C,,
520122103201G121574251100,C,2100,90,C,2002,90,C,,
520122103201G173098970300,B,2100,92,B,2006,10,B,,
520122103201G173098970300,B,2100,92,B,,,B,,
520122103201G173098970300,B,2100,92,B,,,B,,
520122103201G173098970300,B,2100,92,B,,,B,,
520122103201G173098970300,B,2100,92,B,2006,10,B,,
520122103201G173098970300,B,2100,92,B,2006,10,B,,
520122103201G173098970300,B,2100,92,B,,,B,,
520122103201G173098970300,B,2100,92,B,,,B,,
520122103201G173098970300,B,2100,92,B,2006,10,B,,
520122103201G175019374500,J2,2100,85,J2,2006,80.5,J2,,
520122103201G175019374500,J2,2100,85,J2,2006,80,J2,,
520122103201G175019374500,J2,2100,85,J2,2006,79.8,J2,,
520122103201G175019374500,J2,2100,85,J2,2006,75.3,J2,,
520122103201G175019374500,J2,2100,76,J2,2006,80.2,J2,,
520122103201G175019374500,J2,2002,99.9,J2,,,J2,,
520122103201G175019374500,J2,2002,99.9,J2,,,J2,,
520122103201G175019374500,J2,2002,99.9,J2,,,J2,,
520122201201G170960059900,J9,2100,88.8,J9,2006,1.2,J9,2002,75.5
520122202206G121574167400,J2,2100,,J2,2006,,J2,,
520122202206G173661133000,J2,2100,,J2,2006,,J2,,
520123000000G121576008200,j2,2100,97.68,j2,,,j2,,
520123000000G121576008200,j2,2100,97.68,j2,,,j2,,
520123000000G121576035700,J2,2100,98,J2,,,J2,,
520123000000G121576035700,J2,2100,98,J2,,,J2,,
520123000000G121576108500,j2,2100,97.4,j2,,,j2,,
520123000000G121576108500,j2,2100,97.4,j2,,,j2,,
520123000000G121576134100,J2,2100,98.3,J2,,,J2,,
520123000000G121576134100,,,,,,,,,
520123000000G1520123G0003,e,2100,,e,,,e,,
520123000000G170960104900,j2,2100,99,j2,,,j2,,
520123000000G170960104900,j2,2100,99,j2,,,j2,,
520123000000G170960143600,J2,2100,98,J2,,,J2,,
520123000000G170960143600,J2,2100,98,J2,,,J2,,
520123000000G172216833100,j2,2100,99.9,j2,,,j2,,
520123000000G172216833100,,,,,,,,,
520123000000G174111194700,E,2100,,E,,,E,,
520123000000G174112502x00,j2,2100,97.4,j2,,,j2,,
520123000000G174112502x00,j2,2100,,j2,,,j2,,
520123000000G174570585700,j2,2100,99,j2,,,j2,,
520123000000G174570585700,,,,,,,,,
520123000000G175538056600,J2,2100,97.68,J2,,,J2,,
520123000000G175538056600,J2,2100,97.68,J2,,,J2,,
520123000000G177056631500,J2,2100,97.46,J2,,,J2,,
520123000000G177056631500,J2,2100,97.46,J2,,,J2,,
520123000000G177057756x00,j2,2100,,j2,,,j2,,
520123000000G177057756x00,,,,,,,,,
520123000000G177530231100,j2,2100,95,j2,,,j2,,
520123000000G177530231100,j2,2100,95,j2,,,j2,,
520123000000G177534196x00,J2,2100,93.3,J2,,,J2,,
520123000000G177534196x00,J2,2100,93.3,J2,,,J2,,
520123000000G1x2236891400,j2,2100,97.7,j2,,,j2,,
520123000000G1x2236891400,j2,2100,97.7,j2,,,j2,,
520123100206G174570585700,J2,2100,97.7,J2,,,J2,,
520123100206G174570585700,J2,2100,97.7,J2,,,J2,,
520123100207G1X2236891400,J2,2100,98,J2,,,J2,,
520123100207G1X2236891400,J2,2100,98,J2,,,J2,,
520123100213G121576108500,J2,2100,97,J2,,,J2,,
520123100213G121576108500,J2,2100,97,J2,,,J2,,
520123100226G177056531500,J2,2100,97.7,J2,,,J2,,
520123100226G177056531500,J2,2100,97.7,J2,,,J2,,
520123100231G121576008200,J2,2100,98,J2,,,J2,,
520123100231G121576008200,J2,2100,98,J2,,,J2,,
520123100231G121576134100,J2,2100,97.77,J2,,,J2,,
520123100231G121576134100,J2,2100,97.77,J2,,,J2,,
520123100236G170960104900,J2,2100,98,J2,,,J2,,
520123100236G170960104900,J2,2100,98,J2,,,J2,,
520123100236G170960143600,J2,2100,97.7,J2,,,J2,,
520123100236G170960143600,J2,2100,97.7,J2,,,J2,,
520123100236G170960143600,J2,2100,97.7,J2,,,J2,,
520123101202G121576139200,J2,2100,95,J2,,,J2,,
520123101202G174572121600,J2,2100,97.71,J2,,,J2,,
520123101202G174572121600,J2,2100,97.71,J2,,,J2,,
520123101218G177534196X00,J2,2100,93.3,J2,,,J2,,
520123101218G177534196X00,J2,2100,93.3,J2,,,J2,,
520123101219G177057756x00,J2,2100,99.59,J2,,,J2,,
520123101219G177057756x00,J2,2100,99.59,J2,,,J2,,
520123101219G177057756x00,J2,2100,99.59,J2,,,J2,,
520123101219G177057756x00,J2,2100,99.59,J2,,,J2,,
520123101219G177530231100,J2,2100,95,J2,,,J2,,
520123101219G177530231100,J2,2100,95,J2,,,J2,,
520123102202G172216833100,J2,2100,99.6,J2,,,J2,,
520123102202G172216833100,J2,2100,99.6,J2,,,J2,,
520123102202G172216833100,J2,2100,99.6,J2,,,J2,,
520123102203G175538009900,J2,2100,98.9,J2,,,J2,,
520123102213G174112502X00,J2,2100,97.7,J2,,,J2,,
520123102213G174112502X00,J2,2100,97.7,J2,,,J2,,
520123103215G175538056600,J2,2100,97.7,J2,,,J2,,
520123103215G175538056600,J2,2100,97.7,J2,,,J2,,
520181000000G121440556400,J3,,,J3,,,J3,,
520181000000G121440556400,J3,2001,90,J3,,,J3,,
520181000000G121440556400,J3,,,J3,,,J3,,
520181000000G121440556400,J3,,,J3,,,J3,,
520181000000G170967924100,E,2100,,E,,,E,,
520181000000G170967924100,E,2100,,E,,,E,,
520181000000G170967924100,E,2100,,E,,,E,,
520181000000G170967924100,E,2100,,E,,,E,,
520181000000G172213823900,J3,2100,99,J3,,,J3,,
520181000000G174572536400,D,2100,99.6,D,,,D,,
520181000000G174572536400,J3,2100,98.7,J3,,,J3,,
520181000000G174572536400,J3,2100,98.7,J3,,,J3,,
520181000000G174572536400,J3,2100,98.7,J3,,,J3,,
520181000000G174572536400,J3,2100,98.7,J3,,,J3,,
520181000000G174572536400,,2100,98.7,,,,,,
520181000000G175536456600,E,2100,99,E,,,E,,
520181000000G178547960400,,,,,,,,,
520181000000G178547961200,J3,2100,99.6,J3,,,J3,,
520181000000G178547961200,J3,2100,98.7,J3,,,J3,,
520181000000G1X2236464900,J3,2100,99,J3,,,J3,,
520181000000G1X2236464900,J3,2100,90.5,J3,,,J3,,
520181001011G174110723500,J2,2099,90,J2,,,J2,,
520181001209G176138560300,J3,2100,90,J3,,,J3,,
520181001209G176138560300,J3,2100,90,J3,,,J3,,
520181001210G170967924100,E,2100,88.1,E,,,E,,
520181001210G170967924100,E,2100,91.6,E,,,E,,
520181001210G170967924100,E,2100,87.2,E,,,E,,
520181001210G170967924100,E,2100,87,E,,,E,,
520181001210G171431815X00,J3,2100,99.9,J3,,,J3,,
520181001210G175536456600,E,2100,99,E,,,E,,
520181001211G170959821400,,,,,,,,,
520181001216G162224071100,J6,2100,98,J6,,,J6,,
520181001216G162224071100,J6,2100,98,J6,,,J6,,
520181001216G162224071100,J6,2100,98,J6,,,J6,,
520181001216G162224071100,J6,2100,98,J6,,,J6,,
520181001216G162224071100,J6,2100,98,J6,,,J6,,
520181100002G178547960400,J3,2100,99,J3,,,J3,,
520181101003G121440556400,J3,2099,,J3,,,J3,,
520181101003G121440556400,J4,2001,90,J4,,,J4,,
520181101003G121440556400,J3,2099,,J3,,,J3,,
520181101003G121440556400,J3,2099,,J3,,,J3,,
520181101201G174572536400,D,2100,99.7,D,,,D,,
520181101201G174572536400,J3,2100,99.7,J3,,,J3,,
520181101201G174572536400,J3,2100,99.8,J3,,,J3,,
520181101201G174572536400,J3,2100,99.8,J3,,,J3,,
520181101201G174572536400,J3,2100,99.8,J3,,,J3,,
520181101201G174572536400,J3,2100,99.8,J3,,,J3,,
520181101201G174572536400,J3,2100,99.8,J3,,,J3,,
520181101201G174572536400,J3,2100,99.8,J3,,,J3,,
520181101201G174572536400,J3,2100,99.8,J3,,,J3,,
520181101201G174572536400,J3,2100,99.7,J3,,,J3,,
520181101201G174572536400,J3,2100,99.8,J3,,,J3,,
520181101201G174572536400,J3,2100,99.8,J3,,,J3,,
520181101201G174572536400,J3,2100,99.8,J3,,,J3,,
